project_id,project_name,country,state,project_type,road_length_km,estimated_cost_usd_m,adb_loan_usd_m,counterpart_usd_m,planned_duration_years,original_closing,revised_closing,actual_closing,land_acquisition_resettlement_usd_m,land_acquisition_issue,land_acquisition_note,source_type,source_url,revised_to_actual_delay_months,original_to_actual_delay_months,cost_counterpart_check_usd_m
41629-013/44425-013,Bihar State Highways II Project and Additional Financing,India,Bihar,State highways,356.0,424.0,300.0,124.7,4.0,2014-12-31,,,78.93,1.0,ADB PCR recommendation: about 50% of land should be acquired by loan negotiations; contracts should be awarded only after substantial acquisition.,ADB Project Completion Report + ADB RRP/PDS,https://www.adb.org/sites/default/files/project-documents/41629/41629-013-44425-013-pcr-en.pdf,,,424.7
35335-013,National Highway Sector II,India,Multiple/India,National highways,566.0,670.6,400.0,270.6,4.0,2008-12-31,2011-12-31,2012-05-09,,,,ADB Project Data Sheet + Completion Report listing,https://www.adb.org/projects/35335-013/main,4.27,40.25,670.6
37328-013,Madhya Pradesh State Roads Sector Project II,India,Madhya Pradesh,State roads,1800.0,400.0,320.0,80.0,3.58,2010-12-31,2011-12-31,2012-10-05,,,ADB project page lists involuntary resettlement as not applicable.,ADB Project Data Sheet + Completion Report listing,https://www.adb.org/projects/37328-013/main,9.17,21.16,400.0
42513-013,Karnataka State Highway Improvement Project,India,Karnataka,State highways,615.0,452.75,305.0,147.75,4.0,2015-06-30,2018-10-31,2019-04-23,,,Safeguard category: involuntary resettlement A.,ADB Project Data Sheet + Completion Report listing,https://www.adb.org/projects/42513-013/main,5.72,45.77,452.75
47270-001,Madhya Pradesh District Connectivity Sector Project,India,Madhya Pradesh,District roads,1600.0,500.0,350.0,150.0,3.67,2018-10-31,,2019-03-28,,,Safeguard category: involuntary resettlement B. All 18 civil works contracts were awarded in 2014–2015.,ADB Project Data Sheet + Completion Report listing,https://www.adb.org/projects/47270-001/main,,4.86,500.0
37143-033,North Eastern States Roads Investment Program (Project 2),India,Assam/Manipur/Mizoram/Tripura,State roads,,157.2,125.2,32.0,,,,,,,,ADB project data sheet (archived indexed copy) + ADB project page,https://www.adb.org/projects/37143-033/main,,,157.2
32203-013,West Bengal Corridor Development Project,India,West Bengal,State highways / rural roads,240.0,,148.7,,,,,,,,,ADB project page + Government of India/MoRTH historical record,https://www.adb.org/projects/32203-013/main,,,
49228-002,Rajasthan State Highway Investment Program - Tranche 1,India,Rajasthan,State highways / MDR,1000.0,,,,,,,,,,,ADB project page + completion report listing,https://www.adb.org/projects/49228-002/main,,,
41127-013,Bihar State Highways Project and Additional Financing,India,Bihar,State highways,825.14,468.0,420.0,48.0,,2012-01-31,,2016-03-31,1.7,0,"ADB PCR: no land acquisition was required (rehabilitation within existing right-of-way). Delay instead caused by local insurgency and 2 of 9 contractors' poor performance. Resettlement of 1,553 non-titled households (down from 1,984 at appraisal) via encroacher/squatter R&R, not land acquisition.",ADB Project Completion Report,https://www.adb.org/sites/default/files/project-documents/41127/41127-013-pcr-en.pdf,,50.0,468.0
44427-013,Chhattisgarh State Road Sector Project,India,Chhattisgarh,State roads,852.97,428.10,300.0,128.10,5.0,2017-12-31,2018-06-30,2019-06-30,18.5,1,"ADB PCR explicitly cites 'limited availability of encumbrance-free land in some sections exacerbated the delays'; one 60.81km road package dropped entirely because land acquisition was not completed. Category A (significant) involuntary resettlement: 17.516 ha acquired from 579 titleholders, 2,289 non-titleholders affected. LA/R&R/utility-shifting cost ran 12% over budget ($16.3m appraisal to $18.5m actual).",ADB Project Completion Report,https://www.adb.org/sites/default/files/project-documents/44427/44427-013-pcr-en.pdf,12.0,18.0,428.10
