compensation_paid_pct,court_cases_active,court_cases_recent_90d,court_case_avg_age_days,rr_progress_pct,possession_refusing_pct,st_families,forest_clearance_applied,days_since_forest_clearance_needed,months_elapsed,months_total,dept_response_days,total_land_area_hectares,est_families_affected,lao_backlog_ratio,political_cycle_proximity,document_rejection_rate,is_schedule_v_tribal,is_forest_land,is_urban_commercial,stage_completed,risk_score,risk_level,actual_delay_months,actual_delay_days,persona
50.7,9,1,205.4554954089941,47.3,20.3,20,1,0,30,36,20.2,657.6,143,2.8,11,0.403,0,0,0,1,46.9,HIGH,11.2,340,HIGH_backlog
43.5,7,1,249.3247674155778,40.7,21.6,31,1,60,34,48,21.3,532.9,134,2.64,17,0.387,0,0,0,1,46.3,HIGH,14.8,450,HIGH_backlog
64.2,3,0,125.12352997898982,68.2,10.7,1,1,0,13,36,10.0,229.9,48,1.82,8,0.218,0,0,1,0,28.4,MODERATE,6.3,192,MODERATE_standard
81.8,1,0,33.610746258097464,89.7,5.8,0,1,0,8,30,4.6,159.4,29,0.7,39,0.049,0,0,0,1,12.0,LOW,1.2,36,LOW_streamlined
85.7,0,0,47.77755692715243,80.7,7.3,0,1,0,8,18,5.1,183.5,15,0.25,22,0.021,0,0,1,0,12.0,LOW,2.2,67,LOW_streamlined
17.5,18,2,417.9017716959428,20.5,47.8,70,0,173,27,48,21.8,484.0,143,4.18,22,0.563,1,0,0,0,94.0,CRITICAL,27.2,827,CRITICAL_injunction
82.2,0,0,32.38915822865458,90.7,5.1,0,1,0,4,24,6.8,34.9,5,0.61,14,0.036,0,0,1,1,12.0,LOW,2.5,76,LOW_streamlined
69.4,2,1,107.70864253050269,57.7,16.1,1,1,0,11,24,12.6,264.3,41,1.85,28,0.183,0,0,0,1,32.0,MODERATE,5.4,164,MODERATE_standard
72.1,4,1,162.7589150253711,56.1,9.9,0,1,0,16,36,11.8,153.2,34,1.9,34,0.211,0,0,0,0,27.3,MODERATE,4.7,143,MODERATE_standard
90.0,1,0,42.48164495236073,82.5,1.9,0,1,0,7,18,8.2,172.6,9,0.66,32,0.017,0,0,1,1,12.0,LOW,0.7,21,LOW_streamlined
61.1,2,0,81.25328152884587,56.2,15.2,1,1,0,15,24,15.6,285.9,62,1.96,37,0.132,0,0,0,1,29.3,MODERATE,7.3,222,MODERATE_standard
50.5,8,3,199.61176213311336,27.2,29.1,17,0,99,36,48,21.6,786.2,141,3.18,13,0.323,0,0,0,0,67.1,HIGH,13.7,416,HIGH_backlog
82.1,0,0,11.797113689837104,77.2,3.0,0,1,0,16,24,6.3,160.6,10,0.58,22,0.051,0,0,0,1,12.0,LOW,1.3,40,LOW_streamlined
88.4,0,0,26.1478236470623,97.4,5.8,0,1,0,11,24,8.0,82.5,12,0.39,27,0.015,0,0,0,1,12.0,LOW,2.4,73,LOW_streamlined
51.3,7,1,229.83617501117664,39.1,28.9,24,0,0,37,36,16.9,399.8,103,2.26,5,0.464,0,0,0,0,50.1,HIGH,11.4,347,HIGH_backlog
47.1,6,1,269.93869894888417,40.1,33.7,8,1,115,30,48,20.6,342.4,85,2.74,20,0.365,1,1,0,0,57.1,HIGH,14.6,444,HIGH_backlog
39.3,6,3,219.459668468276,44.4,25.1,9,1,90,31,48,23.0,674.3,162,3.23,24,0.321,0,0,0,1,56.3,HIGH,14.9,453,HIGH_backlog
29.8,12,3,385.19688327918493,12.2,42.1,4,0,191,43,36,21.5,366.0,89,3.61,23,0.747,0,1,0,1,87.4,CRITICAL,31.3,952,CRITICAL_injunction
52.1,9,3,187.821961654829,46.4,21.8,36,0,96,36,48,23.7,765.4,196,3.16,25,0.467,0,0,0,0,57.7,HIGH,10.8,328,HIGH_backlog
50.7,8,1,226.2353540626738,33.7,27.7,26,1,0,25,48,19.2,594.4,109,3.0,23,0.442,1,1,0,0,56.8,HIGH,13.2,401,HIGH_backlog
48.0,9,3,215.41862351849375,26.0,25.2,35,0,0,37,48,17.3,508.4,146,2.5,11,0.499,1,0,0,0,63.1,HIGH,14.4,438,HIGH_backlog
62.3,3,0,93.57162086027348,55.7,11.6,2,1,0,11,36,11.9,430.2,89,1.64,15,0.099,0,0,0,1,27.3,MODERATE,7.2,219,MODERATE_standard
46.6,8,1,296.08299089891204,33.7,35.8,8,0,0,33,36,16.3,608.0,151,2.39,4,0.269,1,0,0,0,64.9,HIGH,14.4,438,HIGH_backlog
53.8,6,1,249.74312613042503,26.1,32.1,48,1,64,22,36,22.5,638.3,203,3.56,6,0.448,0,0,0,0,52.4,HIGH,11.4,347,HIGH_backlog
48.0,7,1,307.46597897645825,41.7,21.5,20,1,95,30,48,22.4,628.6,168,2.84,25,0.442,0,0,0,1,48.8,HIGH,10.4,316,HIGH_backlog
69.1,3,1,132.23224746491522,69.2,12.1,0,1,0,10,36,10.6,303.4,32,1.84,17,0.129,0,0,0,1,23.3,LOW,1.4,43,MODERATE_standard
85.1,0,0,28.86429826210363,86.8,5.5,0,1,0,5,18,4.0,126.0,10,0.81,15,0.052,0,0,1,0,12.0,LOW,0.6,18,LOW_streamlined
30.0,12,3,308.31467496376985,21.5,35.9,122,0,163,47,60,28.5,679.6,193,5.18,3,0.637,1,0,0,1,89.9,CRITICAL,21.5,654,CRITICAL_injunction
87.3,0,0,54.98236985725062,83.7,4.5,0,1,0,11,24,7.0,176.2,24,0.37,29,0.033,0,0,1,0,12.0,LOW,2.1,64,LOW_streamlined
67.2,5,0,146.74753159461306,50.1,17.2,1,1,0,22,24,14.7,164.0,30,1.75,24,0.147,0,0,0,0,28.3,MODERATE,3.9,119,MODERATE_standard
